Time (CET);Physical Flow Germany France;Season;Weekday(1)/Weekend(0);Day-ahead Total Load Forecast [MW] - Germany (DE);Day-ahead Total Generation Forecast;Day-ahead Imbalance Germany;Actual Total Load [MW] - Germany (DE);Actual Total Generation;Actual Imbalance Germany;Day-ahead Solar Forecast DE;Day-ahead Wind Offshore Forecast DE;Day-ahead Wind Onshore Forecast DE;Day-ahead Total Load Forecast [MW] France (FR);Day-ahead Generation France;Day-ahead Imbalance France;Actual Total Load France;Day-ahead Solar Forecast FR;Day-ahead Wind Onshore Forecast FR;Day-ahead Price DE;Day-ahead Price FR;Price Difference (DE-FR);Year-Ahead Transfer Capacity  (DE-FR);Month-ahead Transfer Capacity (DE-FR);Week-ahead Transfer Capacity (DE-FR);Year-Ahead Transfer Capacity  (FR-DE);Month-ahead Transfer Capacity (FR-DE);Week-ahead Transfer Capacity (FR-DE)
01.01.2017 00:00 - 01.01.2017 00:15;2238;winter;0;40241;52628;12387;44712;51595;6883;0;3340;12966;75500;70810;-4690;75140;0;937;20,9;58,23;-37,33;2850;1400;1200;3000;2300;1500
01.01.2017 01:00 - 01.01.2017 01:15;2144;winter;0;38162;51289;13127;43632;52702;9070;0;3370;12315;73650;69539;-4111;73330;0;1045;18,13;51,95;-33,82;2850;1400;1200;3000;2300;1500
01.01.2017 02:00 - 01.01.2017 02:15;1988;winter;0;36989;50775;13786;42646;51461;8815;0;3364;12038;72350;67376;-4974;71806;0;1055;16,03;47,27;-31,24;2850;1400;1200;3000;2300;1500
01.01.2017 03:00 - 01.01.2017 03:15;1358;winter;0;36507;50710;14203;40845;52007;11162;0;3363;11889;68750;65412;-3338;68195;0;1065;16,43;45,49;-29,06;2850;1400;1200;3000;2300;1500
01.01.2017 04:00 - 01.01.2017 04:15;1127;winter;0;36884;50194;13310;40281;51921;11640;0;3305;11964;65900;64557;-1343;65672;0;1076;13,75;44,5;-30,75;2850;1400;1200;3000;2300;1500
01.01.2017 05:00 - 01.01.2017 05:15;1087;winter;0;36964;49831;12867;39008;51788;12780;0;3307;11939;65000;64552;-448;64842;0;1224;11,1;44,5;-33,4;2850;1400;1200;3000;2300;1500
01.01.2017 06:00 - 01.01.2017 06:15;1076;winter;0;35256;49539;14283;36933;52189;15256;0;3292;12055;65250;64695;-555;64454;0;1371;15,47;44,72;-29,25;2850;1400;1200;3000;2300;1500
01.01.2017 07:00 - 01.01.2017 07:15;994;winter;0;36200;50427;14227;37879;51933;14054;0;3293;12127;65550;64956;-594;64524;0;1229;16,88;44,22;-27,34;2850;1400;1200;3000;2300;1500
01.01.2017 08:00 - 01.01.2017 08:15;941;winter;0;39011;52399;13388;38314;51744;13430;40;2807;12949;66100;64938;-1162;64855;0;1405;21,81;42,06;-20,25;2850;1400;1200;3000;2300;1500
01.01.2017 09:00 - 01.01.2017 09:15;1214;winter;0;42092;57494;15402;40460;53106;12646;1534;2867;13376;66750;65526;-1224;66246;132;1571;26,24;45,7;-19,46;2850;1400;1200;3000;2300;1500
01.01.2017 10:00 - 01.01.2017 10:15;1481;winter;0;44481;62254;17773;43853;55500;11647;4219;2484;13756;68800;66426;-2374;68222;809;1730;26,42;47,91;-21,49;2850;1400;1200;3000;2300;1500
01.01.2017 11:00 - 01.01.2017 11:15;1713;winter;0;47438;66227;18789;46369;57335;10966;6501;2200;13050;70050;67533;-2517;69688;1622;1833;27,66;49,57;-21,91;2850;1400;1200;3000;2300;1500
01.01.2017 12:00 - 01.01.2017 12:15;1965;winter;0;48968;66869;17901;48066;59063;10997;7676;1843;12235;71050;68066;-2984;72008;2154;1936;28,7;48,69;-19,99;2850;1400;1200;3000;2300;1500
01.01.2017 13:00 - 01.01.2017 13:15;1857;winter;0;47403;64016;16613;40993;55448;14455;7448;1673;11532;71100;68120;-2980;71056;2318;2036;29,66;46,91;-17,25;2850;1400;1200;3000;2300;1500
01.01.2017 14:00 - 01.01.2017 14:15;1532;winter;0;45965;59029;13064;40872;52393;11521;5670;1504;11425;67750;65870;-1880;68243;2039;1931;35,33;46,51;-11,18;2850;1400;1200;3000;2300;1500
01.01.2017 15:00 - 01.01.2017 15:15;1381;winter;0;46105;55246;9141;41434;49880;8446;2925;1412;11435;65200;64558;-642;66403;1386;1823;44,12;46,52;-2,4;2850;1400;1200;3000;2300;1500
01.01.2017 16:00 - 01.01.2017 16:15;931;winter;0;46548;55124;8576;43034;47669;4635;379;1356;11735;64650;65023;373;66053;536;1715;51,59;51,59;0;2850;1400;1200;3000;2300;1500
01.01.2017 17:00 - 01.01.2017 17:15;1168;winter;0;50348;57610;7262;46861;53129;6268;1;1293;12018;67150;66742;-408;69303;31;1685;53,95;59,07;-5,12;2850;1400;1200;3000;2300;1500
